🕘️更新时间,#genre#
2024-12-22 18:08:57,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/1.m3u8$订阅源-IPv6
央视频道,#genre#
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/1.m3u8$订阅源-IPv6
CCTV-1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y$订阅源-IPv6
CCTV-1,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226670/index.m3u8$订阅源-IPv6
CCTV-1,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS$订阅源-IPv6
CCTV-1,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$订阅源-IPv6
CCTV-1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源
CCTV-1,http://27.14.153.181:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://171.117.18.156:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://222.162.192.175:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://117.190.144.101:1111/tsfile/live/0001_1.m3u8$订阅源
CCTV-2,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS$订阅源-IPv6
CCTV-2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8$订阅源-IPv6
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225588/2.m3u8$订阅源-IPv6
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV-2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV-2,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV-2,http://27.14.153.181:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://222.162.192.175:9901/tsfile/live/1000_1.m3u8$订阅源
CCTV-2,http://117.190.144.101:1111/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2$订阅源
CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:74f0:22::4]:6410/270000001111/1110000303/index.m3u8?channel-id=newtv&livemode=4&Contentid=1110000303$订阅源-IPv6
CCTV-3,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228188/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000003$订阅源-IPv6
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/index.m3u8$订阅源-IPv6
CCTV-3,http://58.19.43.46:9901/tsfile/live/1022_1.m3u8$订阅源
CCTV-3,http://27.14.153.181:9901/tsfile/live/0003_2.m3u8$订阅源
CCTV-3,http://222.162.192.175:9901/tsfile/live/1001_1.m3u8$订阅源
CCTV-3,http://117.190.144.101:1111/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3$订阅源
CCTV-4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000503$订阅源-IPv6
CCTV-4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8$订阅源-IPv6
CCTV-4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8$订阅源-IPv6
